GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RedSocialEstudio,co.edu.uniquindio.redsocial.models,HistorialDeContenido,98,145,20,14,24,36,20,13,7,9
RedSocialEstudio,co.edu.uniquindio.redsocial.models,Contenido,199,61,35,9,50,20,37,5,13,5
RedSocialEstudio,co.edu.uniquindio.redsocial.models,Mensaje,56,164,18,24,14,31,21,13,7,6
RedSocialEstudio,co.edu.uniquindio.redsocial.models,SolicitudAyuda.EstadoSolicitud,0,21,0,0,0,2,0,1,0,1
RedSocialEstudio,co.edu.uniquindio.redsocial.models,SolicitudAyuda,7,179,2,20,1,39,2,23,0,14
RedSocialEstudio,co.edu.uniquindio.redsocial.models,TipoReporte,27,0,0,0,5,0,1,0,1,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models,Reporte,100,217,15,21,13,49,14,21,5,11
RedSocialEstudio,co.edu.uniquindio.redsocial.models,GrupoEstudio,29,179,11,23,8,41,11,19,2,11
RedSocialEstudio,co.edu.uniquindio.redsocial.models,Moderador,50,189,8,14,11,44,13,18,5,14
RedSocialEstudio,co.edu.uniquindio.redsocial.models,RegistroVisualizacion,16,27,3,3,3,9,4,4,1,4
RedSocialEstudio,co.edu.uniquindio.redsocial.models,Estudiante,167,219,59,37,22,48,47,15,5,9
RedSocialEstudio,co.edu.uniquindio.redsocial.models,Valoracion,24,127,5,15,4,27,5,16,1,10
RedSocialEstudio,co.edu.uniquindio.redsocial.models,Usuario,173,43,20,0,34,15,25,7,15,7
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,PerfilServlet,29,0,4,0,8,0,4,0,2,0
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,Main,7,0,0,0,3,0,2,0,2,0
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,CerrarSesionServlet,20,0,2,0,8,0,4,0,3,0
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,DashboardServlet,41,0,4,0,14,0,5,0,3,0
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,EliminarInteresServlet,61,0,14,0,15,0,9,0,2,0
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,AgregarInteresServlet,72,0,16,0,19,0,10,0,2,0
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,AppInitListener,14,0,0,0,5,0,3,0,3,0
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,LoginServlet,101,0,6,0,21,0,6,0,3,0
RedSocialEstudio,co.edu.uniquindio.redsocial.drivers,RegistroServlet,54,0,0,0,14,0,3,0,3,0
RedSocialEstudio,co.edu.uniquindio.redsocial,ArchivoMultimedia,29,15,0,0,12,6,8,1,8,1
RedSocialEstudio,co.edu.uniquindio.redsocial,TipoContenido,33,0,0,0,2,0,1,0,1,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,NodoGrafo,159,0,12,0,35,0,21,0,15,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,ListaEnlazada,308,191,38,26,86,59,35,23,12,14
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,GrafoNoDirigido,119,0,8,0,27,0,10,0,6,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,ArbolBinarioBusqueda,212,41,27,3,56,11,26,4,12,3
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,GrafoImpl,557,0,70,0,117,0,57,0,22,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,Nodo,27,0,0,0,11,0,6,0,6,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,ColaPrioridad,70,8,6,0,19,3,10,1,7,1
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,ListaEnlazada.ListaIterator,37,0,4,0,8,0,5,0,3,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,NodoPrioridad,111,0,14,0,25,0,19,0,12,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,NodoLista,48,24,10,0,9,10,10,5,5,5
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,NodoArbol,74,23,20,0,13,7,21,2,11,2
RedSocialEstudio,co.edu.uniquindio.redsocial.models.structures,NodoABB,71,32,20,0,11,11,19,5,9,5
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,SistemaAutenticacion,165,0,18,0,41,0,17,0,8,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,RedAfinidad,129,0,22,0,29,0,17,0,6,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,GestorContenidos,156,60,20,2,42,19,17,7,6,7
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,GestorGrupos,110,0,16,0,27,0,13,0,5,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,GestorRedSocial,3,9,0,0,2,4,2,4,2,4
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,GestorUsuarios,2,6,0,0,1,4,1,4,1,4
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,SistemaRecomendaciones,59,0,6,0,18,0,6,0,3,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,SistemaAyuda,55,0,4,0,14,0,6,0,4,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.services.implement,GestorArchivos,219,0,26,0,47,0,24,0,9,0
RedSocialEstudio,co.edu.uniquindio.redsocial.models.Enums,TipoContenido,0,33,0,0,0,2,0,1,0,1
RedSocialEstudio,co.edu.uniquindio.redsocial.models.Enums,TipoReporte,0,27,0,0,0,5,0,1,0,1
